,source,target,normalized_projection_density_source_average
0,ARH,CB,1.5415413276141032e-05
1,ARH,CP,1.5048881381469715e-05
2,ARH,DMH,0.0036013981310095704
3,ARH,GPe,1.408812853146466e-05
4,ARH,GPi,9.834335156706473e-05
5,ARH,HIP,4.127700476862395e-05
6,ARH,ILA,4.5649482919604855e-05
7,ARH,LH,0.00023033521115509533
8,ARH,LPO,0.0006973785883063062
9,ARH,LZ,0.00097989289741455
10,ARH,MBO,0.0009865470053271727
11,ARH,MH,0.00011393453828216903
12,ARH,MOB,2.9562172486979502e-05
13,ARH,MPO,0.002076976198472754
14,ARH,ORB,1.1085845121039619e-05
15,ARH,P,7.557937225267106e-05
16,ARH,PL,1.800767928465391e-05
17,ARH,PVH,0.00399575117220732
18,ARH,SCH,0.0020435776237111803
19,ARH,SNc,0.00013659031570284168
20,ARH,SNr,2.429542565881991e-05
21,ARH,SO,0.0016691535257336737
22,ARH,TH,0.0001586635734754153
23,ARH,VISp,2.2956085046319232e-05
24,ARH,VMH,0.0029567607484901237
25,CB,ARH,0.012262530743392036
26,CB,CP,0.0005141231782202597
27,CB,DMH,0.013462933676698558
28,CB,GPe,0.0018031058052530627
29,CB,GPi,0.0057024320530077825
30,CB,HIP,0.004525107999723883
31,CB,ILA,0.005006618358706741
32,CB,LH,0.002750222571420539
33,CB,LPO,0.012963098192226455
34,CB,LZ,0.017056442849094227
35,CB,MBO,0.006811228183295294
36,CB,MH,0.00536435728301753
37,CB,MOB,0.002777770442931844
38,CB,MPO,0.00630221360654058
39,CB,ORB,0.00372207503639951
40,CB,P,0.03722975245809301
41,CB,PL,0.0036239110850239723
42,CB,PVH,0.010881689081790605
43,CB,SCH,0.0016045393382846179
44,CB,SNc,0.00932469043262527
45,CB,SNr,0.0039394289329077355
46,CB,SO,0.007130942174825435
47,CB,TH,0.016444546325698063
48,CB,VISp,0.0020311664744803192
49,CB,VMH,0.003433635931466332
50,CP,ARH,0.012900262539164011
51,CP,CB,0.0002580716669135567
52,CP,DMH,0.004171550634187599
53,CP,GPe,0.05052147760246777
54,CP,GPi,0.03990482187602302
55,CP,HIP,0.0014434768045204116
56,CP,ILA,0.02422769739193698
57,CP,LH,0.004547575709169921
58,CP,LPO,0.010341257415030093
59,CP,LZ,0.00888936875759009
60,CP,MBO,0.002833306827904096
61,CP,MH,0.0023584249555017277
62,CP,MOB,0.0028816982704743407
