,source,target,normalized_projection_density_source_average
0,ARH,BLA,0.00011165966745345149
1,ARH,BMA,0.00024961102092131986
2,ARH,CB,1.5415413276141032e-05
3,ARH,CP,1.5048881381469715e-05
4,ARH,DMH,0.0036013981310095704
5,ARH,GPe,1.408812853146466e-05
6,ARH,GPi,9.834335156706473e-05
7,ARH,HIP,4.127700476862395e-05
8,ARH,ILA,4.5649482919604855e-05
9,ARH,LA,0.0002245638900035751
10,ARH,LH,0.00023033521115509533
11,ARH,LHA,0.000788716549550511
12,ARH,LPO,0.0006973785883063062
13,ARH,MBO,0.0009865470053271727
14,ARH,MH,0.00011393453828216903
15,ARH,MOB,2.9562172486979502e-05
16,ARH,MPO,0.002076976198472754
17,ARH,ORB,1.1085845121039619e-05
18,ARH,P,7.557937225267106e-05
19,ARH,PA,0.0003142242346700423
20,ARH,PL,1.800767928465391e-05
21,ARH,PVH,0.00399575117220732
22,ARH,SCH,0.0020435776237111803
23,ARH,SNc,0.00013659031570284168
24,ARH,SNr,2.429542565881991e-05
25,ARH,SO,0.0016691535257336737
26,ARH,TH,0.0001586635734754153
27,ARH,VISp,2.2956085046319232e-05
28,ARH,VMH,0.0029567607484901237
29,ARH,sAMY,0.00038075303433994084
30,BLA,ARH,0.0004773750119847048
31,BLA,BMA,0.010996678783240323
32,BLA,CB,9.837005110413048e-06
33,BLA,CP,0.0020813161645098156
34,BLA,DMH,0.0009833513531015288
35,BLA,GPe,0.0010956986510054678
36,BLA,GPi,0.00042487308794865436
37,BLA,HIP,0.0003286678365073802
38,BLA,ILA,0.0028385470955748565
39,BLA,LA,0.009633209694678955
40,BLA,LH,0.0001408671642250463
41,BLA,LHA,0.0016495030965158009
42,BLA,LPO,0.0033174739561395526
43,BLA,MBO,0.0008374539804071413
44,BLA,MH,0.00016160270311607331
45,BLA,MOB,5.5056682036412e-05
46,BLA,MPO,0.003028673614170397
47,BLA,ORB,0.0006774436601969777
48,BLA,P,0.00012218213685045282
49,BLA,PA,0.007239353641675597
50,BLA,PL,0.001641235522688969
51,BLA,PVH,0.0007508840694290278
52,BLA,SCH,0.00045212755720426204
53,BLA,SNc,0.0007662767728115788
54,BLA,SNr,0.0005277192846554378
55,BLA,SO,0.0026198486290946337
56,BLA,TH,0.00015573244486923168
57,BLA,VISp,5.283346912399292e-05
58,BLA,VMH,0.0029310800488845374
59,BLA,sAMY,0.01252781729171499
60,BMA,ARH,0.0007755795359964629
61,BMA,BLA,0.006492698773469504
62,BMA,CB,8.82596808264874e-06
63,BMA,CP,0.000515434848755061
64,BMA,DMH,0.0010450481359348075
65,BMA,GPe,0.00033954064405056493
66,BMA,GPi,0.00031738182480850843
67,BMA,HIP,0.00026781090816321385
68,BMA,ILA,0.0013390930207449385
69,BMA,LA,0.004514251467332741
